type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2026-07-24 15:22:51.000,26.42368833,-80.15282500,1.90,7.004,-27.804,0.000,,16,19,,Station2
W,2026-07-24 15:28:30.000,26.42080000,-80.16329000,2.00,1.560,-27.760,3.041,255,17,19,,Int13
W,2026-07-24 15:29:08.000,26.42040333,-80.16474833,1.80,0.153,-27.753,0.000,,17,19,,Int14
W,2026-07-24 15:33:28.000,26.41736667,-80.16767167,1.90,12.840,-27.740,0.000,,15,19,,Int15
W,2026-07-24 15:34:55.000,26.41654667,-80.17014000,1.10,9.829,-27.729,0.000,,15,19,,Station3
T,2026-07-24 15:22:47.000,26.42368833,-80.15282500,1.90,7.004,-27.804,0.000,,16,19,20260724-112247,GPS Logger: 20260724-112247 - ST2-3
T,2026-07-24 15:22:48.000,26.42368833,-80.15282500,1.90,7.004,-27.804,0.000,,16,19,,
T,2026-07-24 15:22:49.000,26.42368833,-80.15282500,1.90,7.004,-27.804,0.000,,16,19,,
T,2026-07-24 15:22:50.000,26.42368833,-80.15282500,1.90,7.004,-27.804,0.000,,16,19,,
T,2026-07-24 15:22:51.000,26.42368833,-80.15282500,1.90,7.004,-27.804,0.000,,16,19,,
T,2026-07-24 15:22:52.000,26.42368833,-80.15282500,1.90,7.004,-27.804,0.000,,16,19,,
T,2026-07-24 15:22:53.000,26.42368833,-80.15282500,1.90,7.004,-27.804,0.000,,16,19,,
T,2026-07-24 15:22:54.000,26.42368833,-80.15282500,1.90,7.004,-27.804,0.000,,16,19,,
T,2026-07-24 15:22:55.000,26.42368833,-80.15282500,1.90,7.004,-27.804,0.000,,16,19,,
T,2026-07-24 15:22:56.000,26.42368833,-80.15282500,1.90,7.004,-27.804,0.000,,16,19,,
T,2026-07-24 15:22:57.000,26.42368833,-80.15282500,1.90,7.004,-27.804,0.000,,15,19,,
T,2026-07-24 15:22:58.000,26.42368833,-80.15282500,1.90,7.004,-27.804,0.000,,15,19,,
T,2026-07-24 15:22:59.000,26.42368833,-80.15282500,1.80,7.004,-27.804,0.000,,15,19,,
T,2026-07-24 15:23:00.000,26.42368833,-80.15282500,1.80,7.004,-27.804,0.000,,16,19,,
T,2026-07-24 15:23:01.000,26.42368833,-80.15282500,1.80,7.004,-27.804,0.000,,16,19,,
T,2026-07-24 15:23:02.000,26.42368833,-80.15282500,1.90,7.004,-27.804,0.000,,16,19,,
T,2026-07-24 15:23:03.000,26.42367833,-80.15282333,1.90,8.204,-27.804,0.273,149,16,19,,
T,2026-07-24 15:23:04.000,26.42366833,-80.15281833,1.80,8.304,-27.804,0.333,160,16,19,,
T,2026-07-24 15:23:05.000,26.42366333,-80.15282000,1.80,8.304,-27.804,0.000,,16,19,,
T,2026-07-24 15:23:06.000,26.42366167,-80.15281500,1.80,8.204,-27.804,0.000,,16,19,,
T,2026-07-24 15:23:07.000,26.42366500,-80.15281500,1.80,8.004,-27.804,0.000,,16,19,,
T,2026-07-24 15:23:08.000,26.42366667,-80.15282000,1.80,7.604,-27.804,0.432,285,16,19,,
